lcm_timestamp,sensor_timestamp,depth,pressure
1699650958786370,1699650958786365,545.199,-1.0
1699650958932847,1699650958932828,545.2,-1.0
1699650959085178,1699650959085170,545.194,-1.0
1699650959230268,1699650959230259,545.2,-1.0
1699650959382267,1699650959382258,545.199,-1.0
1699650959533615,1699650959533609,545.192,-1.0
1699650959680863,1699650959680848,545.194,-1.0
1699650959833640,1699650959833619,545.199,-1.0
1699650959979457,1699650959979447,545.198,-1.0
1699650960130264,1699650960130261,545.197,-1.0
1699650960279871,1699650960279861,545.195,-1.0
1699650960427862,1699650960427860,545.193,-1.0
1699650960573774,1699650960573761,545.197,-1.0
1699650960725008,1699650960724991,545.234,-1.0
1699650960877293,1699650960877270,545.272,-1.0
1699650961023923,1699650961023892,545.285,-1.0
1699650961174312,1699650961174302,545.284,-1.0
1699650961324595,1699650961324573,545.283,-1.0
1699650961474787,1699650961474764,545.286,-1.0
1699650961623844,1699650961623827,545.276,-1.0
1699650961772060,1699650961772047,545.271,-1.0
1699650961921669,1699650961921647,545.276,-1.0
1699650962068515,1699650962068452,545.273,-1.0
1699650962220094,1699650962220084,545.267,-1.0
1699650962365611,1699650962365590,545.302,-1.0
1699650962516669,1699650962516641,545.335,-1.0
1699650962670274,1699650962670258,545.341,-1.0
1699650962816184,1699650962816170,545.341,-1.0
1699650962966171,1699650962966159,545.349,-1.0
1699650963115655,1699650963115640,545.345,-1.0
1699650963265987,1699650963265960,545.341,-1.0
1699650963411732,1699650963411714,545.343,-1.0
1699650963563462,1699650963563432,545.345,-1.0
1699650963709118,1699650963709109,545.339,-1.0
1699650963861352,1699650963861346,545.342,-1.0
1699650964013392,1699650964013382,545.278,-1.0
1699650964158054,1699650964158035,545.186,-1.0
1699650964307921,1699650964307911,545.185,-1.0
1699650964455147,1699650964455130,545.187,-1.0
1699650964609051,1699650964608820,545.202,-1.0
1699650964755661,1699650964755647,545.207,-1.0
1699650964907253,1699650964907235,545.211,-1.0
1699650965055974,1699650965055961,545.208,-1.0
1699650965204216,1699650965204198,545.207,-1.0
1699650965354760,1699650965354743,545.21,-1.0
1699650965500669,1699650965500643,545.213,-1.0
1699650965651184,1699650965651170,545.212,-1.0
1699650965804979,1699650965804847,545.216,-1.0
1699650965950720,1699650965950689,545.207,-1.0
1699650966105013,1699650966104980,545.205,-1.0
1699650966250235,1699650966250216,545.215,-1.0
1699650966398900,1699650966398886,545.211,-1.0
1699650966551228,1699650966551211,545.218,-1.0
1699650966699850,1699650966699834,545.212,-1.0
1699650966848238,1699650966848225,545.209,-1.0
1699650966994543,1699650966994526,545.21,-1.0
1699650967146631,1699650967146615,545.216,-1.0
1699650967296529,1699650967296505,545.21,-1.0
1699650967444523,1699650967444511,545.214,-1.0
1699650967595169,1699650967595157,545.217,-1.0
1699650967745081,1699650967745066,545.217,-1.0
1699650967894898,1699650967894881,545.22,-1.0
1699650968038495,1699650968038470,545.21,-1.0
1699650968192992,1699650968192976,545.214,-1.0
1699650968341572,1699650968341549,545.217,-1.0
1699650968489698,1699650968489677,545.218,-1.0
1699650968641107,1699650968641092,545.213,-1.0
1699650968787695,1699650968787681,545.213,-1.0
1699650968937622,1699650968937611,545.218,-1.0
1699650969090713,1699650969090650,545.227,-1.0
1699650969236207,1699650969236124,545.219,-1.0
1699650969387327,1699650969387308,545.22,-1.0
1699650969534211,1699650969534196,545.218,-1.0
1699650969685014,1699650969684994,545.22,-1.0
1699650969838485,1699650969838467,545.217,-1.0
1699650969982901,1699650969982885,545.22,-1.0
1699650970134193,1699650970134180,545.222,-1.0
1699650970282744,1699650970282731,545.216,-1.0
1699650970432415,1699650970432397,545.209,-1.0
1699650970584982,1699650970584964,545.219,-1.0
1699650970735651,1699650970735636,545.22,-1.0
1699650970883350,1699650970883339,545.221,-1.0
1699650971033856,1699650971033845,545.22,-1.0
1699650971179458,1699650971179447,545.221,-1.0
1699650971329832,1699650971329811,545.226,-1.0
1699650971482047,1699650971482033,545.216,-1.0
1699650971632285,1699650971631729,545.225,-1.0
1699650971779087,1699650971779075,545.218,-1.0
1699650971927897,1699650971927889,545.223,-1.0
1699650972078621,1699650972078611,545.219,-1.0
1699650972229168,1699650972229158,545.223,-1.0
1699650972377297,1699650972377285,545.222,-1.0
1699650972528465,1699650972528452,545.22,-1.0
1699650972673873,1699650972673860,545.219,-1.0
1699650972826435,1699650972826409,545.225,-1.0
1699650972976182,1699650972975957,545.226,-1.0
1699650973123963,1699650973123949,545.228,-1.0
1699650973274953,1699650973274933,545.228,-1.0
1699650973422796,1699650973422772,545.217,-1.0
1699650973573566,1699650973573545,545.225,-1.0
1699650973725476,1699650973725463,545.23,-1.0
1699650973872798,1699650973872786,545.229,-1.0
1699650974022279,1699650974022266,545.226,-1.0
1699650974167993,1699650974167981,545.228,-1.0
1699650974320102,1699650974320083,545.227,-1.0
1699650974467765,1699650974467715,545.23,-1.0
1699650974618859,1699650974618838,545.227,-1.0
1699650974770833,1699650974770822,545.225,-1.0
1699650974914616,1699650974914605,545.222,-1.0
1699650975066166,1699650975066046,545.221,-1.0
1699650975216815,1699650975216803,545.223,-1.0
1699650975365147,1699650975365128,545.222,-1.0
1699650975516710,1699650975516688,545.223,-1.0
1699650975663593,1699650975663570,545.269,-1.0
1699650975811889,1699650975811871,545.302,-1.0
1699650975960375,1699650975960361,545.308,-1.0
1699650976110949,1699650976110936,545.314,-1.0
1699650976264080,1699650976264053,545.31,-1.0
1699650976408567,1699650976408551,545.313,-1.0
1699650976561159,1699650976561144,545.299,-1.0
1699650976708859,1699650976708847,545.302,-1.0
1699650976860133,1699650976860120,545.298,-1.0
1699650977006295,1699650977006272,545.304,-1.0
1699650977157768,1699650977157736,545.299,-1.0
1699650977308845,1699650977308828,545.336,-1.0
1699650977455239,1699650977455226,545.363,-1.0
1699650977604791,1699650977604768,545.361,-1.0
1699650977752553,1699650977752541,545.37,-1.0
1699650977904130,1699650977904105,545.373,-1.0
1699650978050378,1699650978050357,545.365,-1.0
1699650978200049,1699650978200035,545.366,-1.0
1699650978349452,1699650978349441,545.375,-1.0
1699650978499257,1699650978499244,545.376,-1.0
1699650978651948,1699650978651933,545.373,-1.0
1699650978799044,1699650978799033,545.373,-1.0
1699650978947705,1699650978947633,545.315,-1.0
1699650979095404,1699650979095379,545.219,-1.0
1699650979248235,1699650979248215,545.205,-1.0
1699650979391345,1699650979391333,545.199,-1.0
1699650979544718,1699650979544694,545.214,-1.0
1699650979692933,1699650979692917,545.217,-1.0
1699650979844916,1699650979844868,545.225,-1.0
1699650979995218,1699650979995200,545.229,-1.0
1699650980139977,1699650980139970,545.23,-1.0
1699650980289755,1699650980289725,545.224,-1.0
1699650980438203,1699650980438192,545.225,-1.0
1699650980588448,1699650980588437,545.228,-1.0
1699650980738827,1699650980738808,545.229,-1.0
1699650980887314,1699650980887286,545.226,-1.0
1699650981038591,1699650981038580,545.228,-1.0
1699650981190442,1699650981190430,545.228,-1.0
1699650981336515,1699650981336487,545.232,-1.0
1699650981485921,1699650981485908,545.226,-1.0
1699650981632487,1699650981632447,545.224,-1.0
1699650981784755,1699650981784732,545.223,-1.0
1699650981931281,1699650981931191,545.216,-1.0
1699650982087381,1699650982087361,545.218,-1.0
1699650982228899,1699650982228881,545.218,-1.0
1699650982380464,1699650982380445,545.218,-1.0
1699650982528555,1699650982528531,545.212,-1.0
1699650982679224,1699650982679190,545.215,-1.0
1699650982829592,1699650982829557,545.216,-1.0
1699650982976274,1699650982976260,545.22,-1.0
1699650983128423,1699650983128400,545.221,-1.0
1699650983280189,1699650983280171,545.22,-1.0
1699650983426288,1699650983426248,545.223,-1.0
1699650983576727,1699650983576701,545.223,-1.0
1699650983727907,1699650983727879,545.218,-1.0
1699650983879695,1699650983879584,545.217,-1.0
1699650984029992,1699650984029946,545.219,-1.0
1699650984179036,1699650984179005,545.218,-1.0
1699650984328652,1699650984328643,545.219,-1.0
1699650984475026,1699650984474983,545.22,-1.0
1699650984628203,1699650984628151,545.225,-1.0
1699650984775195,1699650984775167,545.224,-1.0
1699650984923609,1699650984923562,545.221,-1.0
1699650985071557,1699650985071525,545.222,-1.0
1699650985221200,1699650985221185,545.216,-1.0
1699650985371945,1699650985371917,545.213,-1.0
1699650985521648,1699650985521613,545.22,-1.0
1699650985674100,1699650985674087,545.215,-1.0
1699650985818925,1699650985818912,545.216,-1.0
1699650985969175,1699650985969158,545.218,-1.0
1699650986117294,1699650986117279,545.214,-1.0
1699650986268301,1699650986268193,545.215,-1.0
1699650986412645,1699650986412621,545.219,-1.0
1699650986565104,1699650986565083,545.213,-1.0
1699650986717695,1699650986717684,545.213,-1.0
1699650986864799,1699650986864764,545.215,-1.0
1699650987016266,1699650987016247,545.22,-1.0
1699650987161648,1699650987161598,545.221,-1.0
1699650987313287,1699650987313239,545.217,-1.0
1699650987462234,1699650987462204,545.213,-1.0
1699650987611673,1699650987611657,545.211,-1.0
1699650987758432,1699650987758398,545.21,-1.0
1699650987907856,1699650987907840,545.204,-1.0
1699650988059443,1699650988059342,545.209,-1.0
1699650988207529,1699650988207466,545.211,-1.0
1699650988357114,1699650988357092,545.205,-1.0
1699650988508697,1699650988508684,545.21,-1.0
1699650988662560,1699650988662542,545.212,-1.0
1699650988806257,1699650988806237,545.206,-1.0
1699650988958071,1699650988958045,545.213,-1.0
1699650989105660,1699650989105636,545.207,-1.0
1699650989255279,1699650989255233,545.21,-1.0
1699650989406853,1699650989406838,545.213,-1.0
1699650989554473,1699650989554455,545.213,-1.0
1699650989705839,1699650989705819,545.211,-1.0
1699650989853902,1699650989853885,545.205,-1.0
1699650990002594,1699650990002573,545.205,-1.0
1699650990155427,1699650990155394,545.208,-1.0
1699650990301529,1699650990301514,545.203,-1.0
1699650990452596,1699650990452575,545.2,-1.0
1699650990599714,1699650990599699,545.243,-1.0
1699650990750751,1699650990750737,545.268,-1.0
1699650990897421,1699650990897409,545.269,-1.0
1699650991049282,1699650991049081,545.272,-1.0
1699650991200679,1699650991200662,545.278,-1.0
1699650991346451,1699650991346437,545.284,-1.0
1699650991496731,1699650991496721,545.283,-1.0
1699650991644871,1699650991644854,545.28,-1.0
1699650991793686,1699650991793668,545.285,-1.0
1699650991940192,1699650991940165,545.284,-1.0
1699650992094073,1699650992094058,545.287,-1.0
1699650992240464,1699650992240435,545.332,-1.0
1699650992390782,1699650992390764,545.362,-1.0
1699650992541775,1699650992541719,545.354,-1.0
1699650992688083,1699650992688060,545.362,-1.0
1699650992839891,1699650992839682,545.361,-1.0
