lcm_timestamp,sensor_timestamp,depth,pressure
1696956510606028,1696956510606020149,543.5800170898438,0.0
1696956510628702,1696956510628692572,543.5800170898438,0.0
1696956510663391,1696956510663380907,543.5800170898438,0.0
1696956510709700,1696956510709691798,543.5800170898438,0.0
1696956510767484,1696956510767475359,543.5800170898438,0.0
1696956510805170,1696956510805163575,543.5800170898438,0.0
1696956510826785,1696956510826776787,543.5800170898438,0.0
1696956510864440,1696956510864432642,543.5800170898438,0.0
1696956510904857,1696956510904848210,543.5800170898438,0.0
1696956510967622,1696956510967612925,543.5800170898438,0.0
1696956511006451,1696956511006442065,543.5700073242188,0.0
1696956511029117,1696956511029109251,543.5700073242188,0.0
1696956511066784,1696956511066775777,543.5700073242188,0.0
1696956511104557,1696956511104550212,543.5700073242188,0.0
1696956511149430,1696956511149421311,543.5700073242188,0.0
1696956511184431,1696956511184421684,543.5700073242188,0.0
1696956511227208,1696956511227199064,543.5700073242188,0.0
1696956511266336,1696956511266327466,543.5700073242188,0.0
1696956511305125,1696956511305117014,543.5700073242188,0.0
1696956511364223,1696956511364214657,543.5700073242188,0.0
1696956511387922,1696956511387913766,543.5700073242188,0.0
1696956511445787,1696956511445777220,543.5700073242188,0.0
1696956511483470,1696956511483461723,543.5800170898438,0.0
1696956511507345,1696956511507335524,543.5800170898438,0.0
1696956511565037,1696956511565027570,543.5800170898438,0.0
1696956511588868,1696956511588858394,543.5800170898438,0.0
1696956511646649,1696956511646641799,543.5800170898438,0.0
1696956511683666,1696956511683657449,543.5800170898438,0.0
1696956511708899,1696956511708888191,543.5800170898438,0.0
1696956511765818,1696956511765809524,543.5700073242188,0.0
1696956511788478,1696956511788469463,543.5700073242188,0.0
1696956511848526,1696956511848517419,543.5700073242188,0.0
1696956511885285,1696956511885275200,543.5700073242188,0.0
1696956511914298,1696956511914290098,543.5700073242188,0.0
1696956511949304,1696956511949295540,543.5700073242188,0.0
1696956512008209,1696956512008188976,543.5700073242188,0.0
1696956512046939,1696956512046931195,543.5700073242188,0.0
1696956512068467,1696956512068458940,543.5700073242188,0.0
1696956512106359,1696956512106350280,543.5700073242188,0.0
1696956512143894,1696956512143884019,543.5700073242188,0.0
1696956512207832,1696956512207823577,543.5700073242188,0.0
1696956512246807,1696956512246796800,543.5700073242188,0.0
1696956512284442,1696956512284434697,543.5700073242188,0.0
1696956512313204,1696956512313196080,543.5700073242188,0.0
1696956512364174,1696956512364163997,543.5700073242188,0.0
1696956512385912,1696956512385903243,543.5700073242188,0.0
1696956512445498,1696956512445489789,543.5700073242188,0.0
1696956512468237,1696956512468228297,543.5700073242188,0.0
1696956512506088,1696956512506080117,543.5700073242188,0.0
1696956512564861,1696956512564851102,543.5700073242188,0.0
1696956512586472,1696956512586464455,543.5700073242188,0.0
1696956512646483,1696956512646475027,543.5700073242188,0.0
1696956512668848,1696956512668840659,543.5700073242188,0.0
1696956512707877,1696956512707868703,543.5700073242188,0.0
1696956512765849,1696956512765772369,543.5700073242188,0.0
1696956512787458,1696956512787401458,543.5700073242188,0.0
1696956512847971,1696956512847403601,543.5700073242188,0.0
1696956512885055,1696956512884872364,543.5700073242188,0.0
1696956512912667,1696956512912627571,543.5700073242188,0.0
1696956512948644,1696956512948508829,543.5700073242188,0.0
1696956513007252,1696956513007085406,543.5700073242188,0.0
1696956513045881,1696956513045775704,543.5700073242188,0.0
1696956513069713,1696956513069670526,543.5700073242188,0.0
1696956513105368,1696956513105334743,543.5700073242188,0.0
1696956513165437,1696956513165388447,543.5700073242188,0.0
1696956513188781,1696956513188209251,543.5700073242188,0.0
1696956513247181,1696956513247126781,543.5700073242188,0.0
1696956513284893,1696956513284753941,543.5700073242188,0.0
1696956513323808,1696956513323769124,543.5700073242188,0.0
1696956513347410,1696956513347243964,543.5700073242188,0.0
1696956513407484,1696956513407108183,543.5700073242188,0.0
1696956513428738,1696956513428693344,543.5700073242188,0.0
1696956513463674,1696956513463542927,543.5700073242188,0.0
1696956513509533,1696956513508780737,543.5700073242188,0.0
1696956513543207,1696956513542580153,543.5700073242188,0.0
1696956513588673,1696956513588592677,543.5700073242188,0.0
1696956513646721,1696956513646554480,543.5700073242188,0.0
1696956513670550,1696956513669249947,543.5700073242188,0.0
1696956513709472,1696956513708171185,543.5700073242188,0.0
1696956513766523,1696956513765883439,543.5700073242188,0.0
1696956513803932,1696956513803802824,543.5700073242188,0.0
1696956513825736,1696956513825506045,543.5700073242188,0.0
1696956513885734,1696956513885514154,543.5700073242188,0.0
1696956513914863,1696956513914744707,543.5700073242188,0.0
1696956513964049,1696956513963969516,543.5700073242188,0.0
1696956513986948,1696956513986727747,543.5700073242188,0.0
1696956514047122,1696956514046834441,543.5700073242188,0.0
1696956514069725,1696956514069690752,543.5700073242188,0.0
1696956514107727,1696956514107703330,543.5700073242188,0.0
1696956514166620,1696956514166535539,543.5800170898438,0.0
1696956514205382,1696956514205341501,543.5800170898438,0.0
1696956514230149,1696956514229245422,543.5800170898438,0.0
1696956514269153,1696956514268965574,543.5800170898438,0.0
1696956514308954,1696956514308913092,543.5800170898438,0.0
1696956514347706,1696956514347676423,543.5800170898438,0.0
1696956514407635,1696956514407541142,543.5800170898438,0.0
1696956514444582,1696956514444526095,543.5800170898438,0.0
1696956514467271,1696956514467214588,543.5800170898438,0.0
1696956514505055,1696956514504998917,543.5800170898438,0.0
1696956514563979,1696956514563891507,543.5800170898438,0.0
1696956514586683,1696956514586599452,543.5800170898438,0.0
1696956514646082,1696956514645638811,543.5800170898438,0.0
