lcm_timestamp,sensor_timestamp,latitude,longitude,altitude
1696956512344057,1696956512344042124,36.75251007080078,-122.05594635009766,0.0
1696956517346389,1696956517346349328,36.75252151489258,-122.05594635009766,0.0
1696956522364774,1696956522364733182,36.75253677368164,-122.05595397949219,0.0
1696956527318950,1696956527318917518,36.752532958984375,-122.05596160888672,0.0
1696956532321168,1696956532321126178,36.75252151489258,-122.05596160888672,0.0
1696956537323542,1696956537323418298,36.75252151489258,-122.05595397949219,0.0
1696956542341432,1696956542341370354,36.75251388549805,-122.05596923828125,0.0
1696956547359759,1696956547359705420,36.75251007080078,-122.05593872070312,0.0
1696956552361842,1696956552361800208,36.75251007080078,-122.05592346191406,0.0
1696956557316294,1696956557316263392,36.75251770019531,-122.05592346191406,0.0
1696956562382721,1696956562382687623,36.752525329589844,-122.055908203125,0.0
1696956567337039,1696956567336968375,36.752525329589844,-122.055908203125,0.0
1696956572355015,1696956572354942696,36.75253677368164,-122.055908203125,0.0
1696956577357310,1696956577357236658,36.75254440307617,-122.05590057373047,0.0
1696956582311433,1696956582311335150,36.752559661865234,-122.055908203125,0.0
1696956586802181,1696956586802006692,36.7525749206543,-122.055908203125,0.0
1696956591612379,1696956591612336683,36.75258255004883,-122.055908203125,0.0
1696956596614633,1696956596614584876,36.752593994140625,-122.05590057373047,0.0
1696956601569053,1696956601568976106,36.752601623535156,-122.055908203125,0.0
1696956606523467,1696956606522974230,36.75261306762695,-122.05589294433594,0.0
1696956611460963,1696956611460824680,36.75262451171875,-122.05589294433594,0.0
1696956616447282,1696956616447215081,36.752628326416016,-122.05589294433594,0.0
1696956621337699,1696956621337670564,36.75265121459961,-122.0558853149414,0.0
1696956626339950,1696956626339914198,36.752662658691406,-122.05589294433594,0.0
1696956631358307,1696956631358159602,36.7526741027832,-122.05589294433594,0.0
1696956636360792,1696956636360530125,36.752685546875,-122.0558853149414,0.0
1696956641363016,1696956641362781631,36.75270080566406,-122.0558853149414,0.0
1696956646365044,1696956646364934865,36.752716064453125,-122.05589294433594,0.0
1696956651383153,1696956651383096634,36.752723693847656,-122.0558853149414,0.0
1696956656337391,1696956656337360704,36.75273132324219,-122.05587768554688,0.0
1696956661276016,1696956661275959381,36.75274658203125,-122.0558853149414,0.0
1696956666294450,1696956666294380340,36.75275421142578,-122.05587005615234,0.0
1696956671296768,1696956671296725153,36.752750396728516,-122.05585479736328,0.0
