lcm_timestamp,sensor_timestamp,depth,pressure
1699643616018960,1699643616018941,545.516,-1.0
1699643616164354,1699643616164340,545.522,-1.0
1699643616314618,1699643616314600,545.524,-1.0
1699643616462265,1699643616462250,545.524,-1.0
1699643616612770,1699643616612748,545.521,-1.0
1699643616765961,1699643616765939,545.52,-1.0
1699643616910483,1699643616910460,545.528,-1.0
1699643617062815,1699643617062635,545.524,-1.0
1699643617209415,1699643617209311,545.524,-1.0
1699643617361856,1699643617361841,545.522,-1.0
1699643617513747,1699643617513731,545.523,-1.0
1699643617660575,1699643617660559,545.517,-1.0
1699643617808618,1699643617808607,545.521,-1.0
1699643617956326,1699643617956314,545.52,-1.0
1699643618109507,1699643618109493,545.518,-1.0
1699643618262190,1699643618262174,545.516,-1.0
1699643618405285,1699643618405271,545.516,-1.0
1699643618558301,1699643618558288,545.52,-1.0
1699643618704010,1699643618703985,545.525,-1.0
1699643618854131,1699643618854114,545.522,-1.0
1699643619007480,1699643619007461,545.517,-1.0
1699643619152185,1699643619152164,545.514,-1.0
1699643619303742,1699643619303724,545.505,-1.0
1699643619455000,1699643619454983,545.511,-1.0
1699643619601700,1699643619601690,545.512,-1.0
1699643619754220,1699643619754201,545.509,-1.0
1699643619901468,1699643619901456,545.507,-1.0
1699643620052173,1699643620052149,545.511,-1.0
1699643620199678,1699643620199664,545.512,-1.0
1699643620350736,1699643620350724,545.516,-1.0
1699643620499252,1699643620499235,545.51,-1.0
1699643620647772,1699643620647757,545.504,-1.0
1699643620799163,1699643620799148,545.511,-1.0
1699643620943417,1699643620943389,545.513,-1.0
1699643621095980,1699643621095957,545.516,-1.0
1699643621242370,1699643621242350,545.514,-1.0
1699643621394196,1699643621394080,545.509,-1.0
1699643621546886,1699643621546846,545.513,-1.0
1699643621693627,1699643621693613,545.504,-1.0
1699643621842197,1699643621842179,545.503,-1.0
1699643621994466,1699643621994454,545.506,-1.0
1699643622140819,1699643622140802,545.5,-1.0
1699643622292324,1699643622292207,545.502,-1.0
1699643622440231,1699643622440208,545.497,-1.0
1699643622590077,1699643622589990,545.498,-1.0
1699643622741435,1699643622741398,545.492,-1.0
1699643622889660,1699643622889645,545.498,-1.0
1699643623041596,1699643623041555,545.493,-1.0
1699643623188065,1699643623188036,545.496,-1.0
1699643623336946,1699643623336927,545.5,-1.0
1699643623488187,1699643623488169,545.499,-1.0
1699643623636457,1699643623636434,545.492,-1.0
1699643623789162,1699643623789148,545.495,-1.0
1699643623934005,1699643623933900,545.499,-1.0
1699643624085546,1699643624085502,545.501,-1.0
1699643624236546,1699643624236444,545.498,-1.0
1699643624382328,1699643624382316,545.494,-1.0
1699643624533853,1699643624533841,545.497,-1.0
1699643624685606,1699643624685596,545.495,-1.0
