lcm_timestamp,sensor_timestamp,latitude,longitude,altitude
1699650959817328,-2208911572280000,36.75276,-122.05609166666666,-543.8
1699650962812628,-2208911569409999,36.75277,-122.05608833333334,-544.2
1699650965807758,-2208911566570000,36.752761666666665,-122.05607,-544.9
1699650968803674,-2208911563739999,36.75275833333333,-122.056065,-544.0
1699650971799535,-2208911560880000,36.752766666666666,-122.056065,-542.9
1699650974793558,-2208911558000000,36.752763333333334,-122.05604,-541.8
1699650976790538,-2208911555139999,36.75275166666667,-122.05602166666667,-544.8
1699650979785499,-2208911552290000,36.75275333333333,-122.05602166666667,-544.1
1699650982780584,-2208911549350000,36.75275,-122.05602833333333,-543.8
1699650985776487,-2208911546449999,36.75273833333333,-122.05603333333333,-544.1
1699650988771409,-2208911543590000,36.752735,-122.05604333333333,-544.1
1699650991766210,-2208911540699999,36.752735,-122.05605333333334,-543.6
1699650994823341,-2208911537790000,36.75272666666667,-122.05606,-544.5
1699650997827017,-2208911534929999,36.752718333333334,-122.05606333333333,-544.1
1699651000814581,-2208911532040000,36.75272,-122.05608666666667,-544.0
1699651002811320,-2208911529139999,36.752725,-122.05609833333334,-543.6
1699651005813335,-2208911526290000,36.75273,-122.05610333333334,-543.9
1699651008802812,-2208911523420000,36.75273166666667,-122.05611,-544.1
1699651011796220,-2208911520520000,36.752736666666664,-122.056115,-544.2
1699651014792147,-2208911517620000,36.752735,-122.056115,-544.1
1699651017794215,-2208911514760000,36.75273166666667,-122.05611833333333,-544.1
1699651020782132,-2208911511889999,36.75273,-122.05611,-544.1
1699651023777000,-2208911509010000,36.75273333333333,-122.05610666666666,-543.5
1699651025781981,-2208911506190000,36.75274833333334,-122.05609666666666,-544.0
1699651028769980,-2208911503360000,36.75275833333333,-122.05607666666667,-545.0
1699651031764901,-2208911500460000,36.752765,-122.05607833333333,-543.8
1699651034832725,-2208911497620000,36.75277333333333,-122.05608333333333,-543.8
1699651037830717,-2208911494679999,36.752768333333336,-122.05607833333333,-544.1
1699651040829967,-2208911491770000,36.75275333333333,-122.056075,-544.1
1699651043826953,-2208911488929999,36.752741666666665,-122.05607166666667,-544.0
1699651046819859,-2208911486080000,36.75273,-122.05606833333333,-544.2
1699651048810687,-2208911483120000,36.752725,-122.05606833333333,-543.8
1699651051802542,-2208911480230000,36.752723333333336,-122.05607166666667,-544.1
1699651054807356,-2208911477330000,36.752725,-122.056075,-544.0
1699651057806851,-2208911474440000,36.75273,-122.05608333333333,-543.6
1699651060783505,-2208911471530000,36.75273166666667,-122.05609166666666,-544.2
1699651063785416,-2208911468620000,36.75273333333333,-122.05609,-544.1
1699651066780763,-2208911465770000,36.752735,-122.056105,-544.1
1699651069786350,-2208911462889999,36.75274666666667,-122.05613166666667,-544.0
1699651072778446,-2208911460010000,36.752755,-122.056125,-544.0
1699651074768532,-2208911457170000,36.752761666666665,-122.05611333333333,-543.8
1699651077768315,-2208911454270000,36.752761666666665,-122.05610333333334,-544.4
